,O,cyanide,methylamine,F,C,Cl,trifluoromethyl,Br
O2H,0.04576504544055153,-0.06135858612937861,-0.09497806831052763,0.03449543633534214,0.15551725769343466,0.16252974094254108,0.16219902705443576,0.16289781794565197
O,0.2846129632926972,-0.33568163505776843,-0.20737400582499166,0.010552407362598132,0.07031714972801534,-0.13308872437595895,-0.2938611231298944,-0.15454980530064588
OH,-0.31132090833235737,0.28562412230837914,-0.17485533213908694,-0.11545087378053046,-0.13858865697846598,-0.025629293409587528,0.12380872253025314,-0.00567649651964928
bare,-0.01905710040089139,0.11141609887876792,0.4772074062746063,0.07040303008259022,-0.08724575044298401,-0.003811723156994607,0.007853373545205475,-0.0026715161253567533
